term ,acronym,definition,reference,alternative_definition,reference_alternative_definition,status,comment,glossary_reporting,glossary_observers,glossary_TRUEs,glossary_compliance,glossary_science,glossary_mse,glossary_EM,glossary_LL,glossary_PS,glossary_PL,glossary_GN
Electronic monitoring system,EMS,"An integrated system of hardware and software that supports acquisition of video footages of fishing activity, positional data and/or sensor",Resolution 25/06,"The system comprising the vessel and shore- based components for collecting, transmitting and reviewing EM records",EM workshop Marua 2025-IOTC,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic technologies,,"Any electronic tool that is used to support fisheries-dependent data collection, both on shore and at sea",Resolution 23/08,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Encircling gillnets,,"An encircling gillnet is a gillnet set vertical, in shallow waters, encircling fish. After the fish has been encircled by the net, noise or other means are used to force them to gill or entangle themselves in the netting. It is a technology commonly used by groups of small-scale fishermen (or women)",Gear code lists,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
Engine power,,"The maximum continuous power output of a vessel's engine, usually expressed in kilowatts (kW) or horsepower (hp)",based on IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Engine room,,A compartment or space in a ship containing the main propulsion machinery and associated equipment required for the operation of the vessel.,IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Emergency position-indicating radio beacon,EPIRB,A satellite-based distress beacon carried by ships that transmits an alert containing the vessel's identity and location to assist search and rescue authorities in locating a vessel in an emergency.,IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Equator,,The imaginary line around the Earth at 0° latitude that divides the Earth into the Northern and Southern Hemispheres.,IHO terminology,,,,,,TRUE,,,,,,,,,
Electronic monitoring event,,An occurrence in the Electronic Monitoring Records that is enumerated into Electronic Monitoring data,EM workshop-WCPFC term,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Escapement,,"The number, expressed as a percentage, of fish that survive through a particular event (e.g. predation, natural
mortality, fishing mortality), often to spawn.",IOTC science glossary,,,,,,,,,,,,,,,
Exhaustive sampling,,All individuals in the catch or sampling unit are examined and recorded,IOTC Reference Data Catalogue ,,,,Biological Sampling Method (https://data.iotc.org/reference/latest/forms/ros/Form-ROS-PS.html#Biological_Sampling_Method),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Exclusive economic zone,EEZ,"A zone under national jurisdiction (up to 200-nautical miles wide) declared in line with the provisions of 1982 United Nations Convention of the Law of the Sea, within which the coastal State has the right to explore and exploit, and the responsibility to conserve and manage, the living and non-living resources.",FAO terminology portal,"An area beyond and adjacent to the territorial sea, subject to the specific legal regime established in the United Nations Convention on the Law of the Sea, which provides that it is not to extend beyond 200 nm from the baselines from which the breadth of the territorial sea is measured.",IOTC data reporting guidelines,keep both?,"From IOTC science glossary: The area that extends from the limit of the territorial sea, which is 12 nautical miles offshore
from the territorial sea baseline, to a maximum of 200 nautical miles, measured from the territorial sea baseline. The EEZ is less
than 200 nautical miles in extent where it coincides with the EEZ of another country. In this case the boundaries between the two
countries are defined by treaty.",TRUE,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE
Exploitation rate,,"The fraction of total animal deaths caused by fishing, usually expressed as an annual value. Can also be
defined as the proportion of a population caught during a year",IOTC science glossary,,,,,,,,,,,,,,,
F (fishing mortality),,"The instantaneous rate of fish deaths due to fishing a designated component of the fish stock. F reference
points may be applied to entire stocks or segments of the stocks and should match the scale of management unit. Instantaneous
fishing mortality rates of 0.1, 0.2 and 0.5 are equivalent to 10%, 18% and 39% of deaths of a stock due to fishing. See also
Mortality, M (natural mortality).",IOTC science glossary,,,,,,,,,,,,,,,
FLIM (fishing mortality limit reference point),,The point above which the removal rate from the stock is too high,IOTC science glossary,,,,,,,,,,,,,,,
FMEY (fishing mortality at maximum economic yield),,The fishing mortality rate that corresponds to the maximum economic yield.,IOTC science glossary,,,,,,,,,,,,,,,
FMSY (fishing mortality maximum sustainable yield),,The fishing mortality rate that achieves the maximum sustainable yield.,IOTC science glossary,,,,,,,,,,,,,,,
FTARG (fishing mortality target),,The target fishing mortality rate,IOTC science glossary,,,,,,,,,,,,,,,
Fairleads,,"A fitting or device used to guide, support, or change the direction of a rope, cable, or line while reducing friction and preventing damage.",IMO ,,,,,,TRUE,,,,,,,,,
Fecundity,,Number of eggs an animal produces each reproductive cycle; the potential reproductive capacity of an organism or population.,IOTC science glossary,,,,,,,,,,,,,,,
Field sampler,,A person who collects information on land during the unloading of fishing vessels and field sampling programs can be used inter alia for quantifying catch,Resolution 25/06,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishery information system*,FIS,,,,,To define,missing reference,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Fish aggregating device,FAD,"Artificial or natural floating objects placed on the ocean surface, often anchored to the bottom, to attract several schooling fish species underneath",FAO terminology portal,"Anchored, drifting, floating, swimming or submerged object or group of objects, of any size,
that has or has not been deployed, that is living or non-living, including but not limited to buoys, floats, netting, webbing, plastics,
bamboo, logs, whales and whale sharks that fish may associate with.. See also Anchored FAD and Drifting FAD.",IOTC science glossary,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,
Fish aggregating device (FAD) set,,"Any set of fishing gear on a FAD (anchored, drifting or natural (i.e. whale or whale shark)).",IOTC science glossary,,,,,,,,,,,,,,,
Fisher,,"an individual who engages in fishing activities for the purpose of deriving a livelihood, generating a revenue or pursuing sport or recreation.",IOTC data reporting guidelines,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishery,,"An activity leading to harvesting of fish. It may involve capture of wild fish or raising of fish through aquaculture ([FAO fishery glossary](https://www.fao.org/faoterm/en/)),Fishery (FAO)",FAO,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishery-independent survey,,"Systematic survey carried out by research vessels or contracted commercial fishing vessels to
gather information independently of normal commercial fishing operations.",IOTC science glossary,,,,,,,,,,,,,,,
Fishing capacity*,,"The ability of a vessel or fleet of vessels to catch fish. Fishing capacity (capacity output) can be expressed more specifically as the maximum amount of fish over a period of time (year, season) that can be produced by a fishing fleet if fully utilised",Github glossary,"(1) The potential fishing effort that could be exerted in a fishery, over a period of time (year, season) if all fishers are participating and all vessels and gear are fully used. (2) The maximum amount of fish that could be taken in a fishery or by a single fishing unit (e.g. a fisher, community, vessel or fleet) over a period of time (season, year), given the biomass and age structure of the fish stock and the present state of the technology",FAO terminology portal,,definition from IOTC science glossary: Total fishing effort that can be expended by a fleet operating in a fishery,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing down (fish-down),,"Reduction in the average age and size of a stock that is being fished for the first time. Catches are
highest at first, but the rate cannot be sustained once the abundance of older fish has been reduced.",IOTC science glossary,,,,,,,,,,,,,,,
Fishing effort,,"The overall amount of fishing (usually per unit of time) expressed in units such as: boat days on the fishing ground, number of traps, or trawl hauls, or (gillnet length x soaking time)",FAO terminology portal,"amount of fishing taking place, usually described in terms of gear type and the frequency or period of operations (e.g. 'hook sets', 'trawl hours', 'searching hours').",IOTC glossary scientific terms,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing effort (effective),," Adjusted measure of effort to take account of differences in fishing power and efficiency and ensure proportionality with fishing mortality, and when two or more kinds of gear are used or when the same gear is used for example by different classes of vessel or métier, the respective efforts are adjusted to some common standard before being aggregated across all classes (strata) ([CWP Handbook](https://www.fao.org/cwp-on-fishery-statistics/handbook/en/)).",IOTC glossary,,,,check CWP Handbook on Fisheries,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing effort (nominal),,"General measure of effort used to quantify the unadjusted, total effort units exerted on a stock in a given time period by a fishery",IOTC glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing event*,,,,,,to discuss,missing reference,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,
Fishing gear,,"The general name for the equipment used for fishing. This might include lines, nets, warps, floats, deck equipment and any other specific fishing items.",FAO terminology terminal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing logbook,,A paper based or electronic record of any data related to fishing or fishing related activities,IOTC-2025-CoC22-11_Add4-IOTC Glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing master*,,"A person responsible for managing and directing fishing operations on board a fishing vessel, including decisions related to fishing methods, gear deployment, and catch operations",need a reference,,,,,TRUE,TRUE,,,,,,,,,
Fishing mode,,A specific practice or method of conducting a fishing operation or searching for fish within a fishery,github glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing power,,Effectiveness of a vessel's fishing effort relative to the effectiveness of other vessels,IOTC science glossary,,,,,,,,,,,,,,,
Fishing related activities,,"Any operation in support of, or in preparation for, fishing, including the landing, packaging, processing, transhipping or transporting of fish that have not been previously landed at a port, as well as the provisioning of personnel, fuel",IOTC-2025-CoC22-11_Add4-IOTC Glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing season,,The period during which a fishery can be accessed by fishers. Sometimes referred to as a fishing year.,IOTC science glossary,,,,,,,,,,,,,,,
Fishing set*,,,,,,To define,missing reference,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE
Fishing trip,,"The period between either (a) a vessel's departure from port after unloading part or all of the catch to transit to a fishing area, or (b) a vessel recommences fishing operations or transits to a fishing area after transshipping part or all of the catch at sea, and the time that the vessel either (c) returns to port to unload part or all of its catch",EM workshop-only WCPFC term,A defined period during which a vessel engages in fishing activities,EM workshop-workshop standards,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing vessel,,"any vessel of any size used for, equipped for use for, or intended for use for the purposes of fishing or fishing-related activities, including support vessels, fish-processing vessels, vessels engaged in transshipment and carrier vessels equipped for the transportation of fishery products",FAO terminology portal,,FAO terminology portal,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Fishing year,,See Fishing season,IOTC science glossary,,,,,,,,,,,,,,,
Flag state*,,The State which has granted to a vessel the right to fly its flag and has issued a registration to that effect,IOTC-2025-CoC22-11_Add4-IOTC Glossary,State under whose laws a vessel is registered and whose flag it is entitled to fly.,IOTC science glossary,,this should become the reference so the IOTC should become the source,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Float line,,A rope or line fitted with floats that supports and maintains the position of a fishing gear at the surface or in the water column,FAO terminology ,,,,,TRUE,TRUE,,,,,,,,,
Fork length,FL,"In a fish with a forked tail, the distance from the mouth tip to the tail fork",FAO terminology portal,"Length of a fish measured as the distance between the tip of the snout and the point of the fork or 'V' of the
tail. Commonly used to record the length of commercial fish because it is little affected by damage to the tail fin (c.f. Total
length). Fork length is measured flat, from point to point, not by stretching a tape along the body surface, which would result in a
longer measurement for full-bodied fish like tuna. See also Lower-jaw fork length.",IOTC science glossary,,to get from IOTC Reference Data Catalogue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Free school,,A fish school not associated with any anchored or drifting floating object. Synonym to free-swimming school or unassociated school,IOTC glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Free school set,,"Any set of fishing gear on a school of fish which are not associated with any object (c.f. Fish aggregating device
(FAD).",IOTC science glossary,,,,,,,,,,,,,,,
Galley,,The kitchen or food preparation area on board a vessel where meals are prepared for the crew and personnel.,IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Gear,,"The general name for the equipment used for fishing. This might include lines, nets, warps, floats, deck equipment and any other specific fishing items ",IOTC glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Gear restriction,,Restriction on the amount and/or type of fishing gear that can be used by fishers in a particular fishery; used as a management tool,IOTC science glossary,,,,,,,,,,,,,,,
Generation time,,Average time taken for an individual animal to replace itself in a population,IOTC science glossary,,,,,,,,,,,,,,,
Geolocation device,,A device that is used to capture information on vessel position that can also be used to determine vessel speed and heading,EM workshop-WCPFC term,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Ghost fishing*,,"The accidental capture of aquatic organisms by fishing gear (usually gill nets, or traps, pots)",FAO,"The capture of fish in gear that has been lost, usually nets or traps",IOTC science glossary,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Ghost fishing gear,,Abandoned fishing gear = fishing gear over which that operator/owner has control and that could be retrieved by owner/operator,code lists,,,to review,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Gillnet*,,"A net, which is hung vertically in the water so that fish attempting to pass through become caught by the gill covers, entangled or enmeshed in the netting. According to their design, ballasting and buoyancy, these nets may be used to fish on the surface",FAO fisheries glossary,"Type of passive fishing gear consisting of panels of net held vertically in the water column, either in contact with the
seabed or suspended from the sea surface, such that fish attempting to swim through the net are entangled. The mesh size of the
net determines the size range of fish caught, as smaller fish can swim through the meshes and larger fish are not enmeshed. See
also Driftnet.",IOTC science glossary,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
Global maritime distress and safety system,GMDSS,"An internationally agreed system using satellite and terrestrial communication technologies to ensure that distress alerts, maritime safety information, and emergency communications can be transmitted and received by vessels",IMO terminology,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Global positioning system,GPS,a satellite based navigational system allowing the determination of any point on the earth's surface with a high degree of accuracy given a suitable GPS receiver. ,FAO terminology portal,,,,(Maybe we just take part of the definition?),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Global positioning system plotter,,"A navigation device that combines GPS position data with electronic charts to display a vessel's location, track, and planned routes.",IMO terminology,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Global navigation satellite system ,GNSS,"A satellite-based positioning system that provides users with geographic position, navigation, and timing information using signals transmitted from satellites",IMO terminology,,,to define,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Greenwich mean time,GMT,"The mean solar time at the Greenwich meridian (0° longitude), historically used as the reference time standard for navigation and timekeeping.GMT was formerly used as the international civil time standard, now superseded in that function by Coordinated Universal Time (UTC), defined by a whole number of hours (UTC?12 to UTC+14).",Adapted from IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Gross tonnage,,"A dimensionless measure of the overall internal volume of a vessel, calculated according to the vessel's total enclosed spaces and used to indicate its size.",IMO terminology,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Gross value of production,GVP,"A value found by multiplying the volume of catch by the beach price per unit. In the case of a
multispecies fishery, the fishery's GVP is the sum of the GVP of each species. GVP is not a good indicator of economic
performance because it does not consider costs.",IOTC science glossary,,,,,,,,,,,,,,,
Growth model,,Mathematical description or representation of the rate at which a species grows at different sizes or ages,IOTC science glossary,,,,,,,,,,,,,,,
Growth overfishing,,"The harvesting of too many small fish; where a restraint on catching them would result in an overall
increase in a fishery's yield.",IOTC science glossary,,,,,,,,,,,,,,,
Handline*,,"Fishing method in which a line with a hook, usually baited, is lowered into the water from a drifting, anchored or moving fishing vessel or from a jetty",IOTC glossary,Hand-held lines of various types used to catch fish,IOTC science glossary,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Harpoon,,Fishing gear consisting of a pointed dart or iron attached to the end of a line several hundred feet in length,FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Harvest control rule,HCR,See Control rules,IOTC science glossary,,,,,,,,,,,,,,,
Harvest strategy,,"Strategy outlining how the catch in a fishery will be adjusted from year to year depending on the size of the
stock, the economic or social conditions of the fishery, conditions of other interdependent stocks and uncertainty of biological
knowledge. Well-managed fisheries have an unambiguous (explicit and quantitative) harvest strategy that is robust in the
unpredictable biological fluctuations to which the stock may be subject. A harvest strategy sets out the management actions
necessary to achieve defined biological and economic objectives in a given fishery. Harvest strategies must contain 1) a process
for monitoring and conducting assessments of the biological and economic conditions of the fishery, and 2) rules that control the
intensity of fishing activity according to the biological and economic conditions of the fishery (as defined by the assessment).
These rules are referred to as harvest control rules.",IOTC science glossary,,,,,,,,,,,,,,,
Hatch,,"An opening in a ship's deck or structure, fitted with a cover or door, providing access to spaces below or allowing the movement of cargo, equipment, or personnel.",IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Hatch cover,,"A removable or hinged structure fitted over a hatch opening to close and protect the space below, maintaining the required strength and watertight or weathertight integrity of the deck.",IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Hauling station,,The designated area on a fishing vessel where fishing gear is retrieved and brought aboard during hauling operations.,Based on FAO terminology,,,,,TRUE,TRUE,,,,,,,,,
High Frequency Radio,HF radio,"A radio communication system that uses high-frequency electromagnetic waves (3-30 MHz) to provide long-range voice and data communication, including maritime safety and operational communications.",IMO terminology,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
High grading,,"A type of discarding motivated by an output control system. Depending on the costs of fishing and price
differences between large and small fish of the same species, fishers may have an incentive to discard small, damaged or relatively
low-value catch so that it does not count against their quota. They then hope to fill the quota with a higher-value fish in the future.",IOTC science glossary,,,,,,,,,,,,,,,
High seas*,,"All parts of the sea that are not included in the exclusive economic zone, in the territorial sea or in the internal waters of a State",IOTC glossary (UNCLOS),"that area of the oceans which is not subject to the jurisdiction of any one state.That area of the oceans which is not subject to the jurisdiction of any one state,High seas",FAO terminology portal,pick one,from IOTC science glossary: Waters outside national jurisdictions,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Hold ,,"A compartment within a vessel used for the storage or carriage of cargo, equipment, or other materials.",IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
Hook pods*,,,,,,To define,missing reference,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Hull,,"The main body or shell of a vessel that provides its structure, buoyancy, and watertight enclosure.",IMO terminology,,,,,TRUE,TRUE,,,,,,,,,
International maritime organization number,IMO,"A unique seven-digit identification number assigned permanently to a vessel for identification purposes throughout its operational life, regardless of changes in ownership, flag, or name.",IMO terminology,,,to define,,TRUE,TRUE,,,,,,,,,
Incidentally affected species*,,"Bycatch species that accidentally interact with fishing equipment in the fishery, that are not taken but released to the sea (cetaceans, seals, turtles, birds, etc.). Some of these species may be considered protected, endangered, or threatened.",ROS observer manual 2019,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Incidentally taken species*,,"Bycatch species of no commercial value such as fish species, crustaceans or other non-target organisms without commercial interest, not marketable for reasons of size (immature, juvenile), prohibited from fishing, or from being hauled on-board",ROS observer manual,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Index of abundance,,Relative measure of the abundance of a stock (e.g. catch per unit of effort).,IOTC science glossary,,,,,,,,,,,,,,,
Individual transferable effort,ITE,"Shares of a total allowable effort that are allocated to individuals. They can be traded
permanently or temporarily. Analogous to individual transferable quotas in a fishery managed with a total unit allowable catch.
Usually issued at the start of a fishing season.",IOTC science glossary,,,,,,,,,,,,,,,
Individual transferable quote ,ITQ,"Management tool by which portions of the total available catch quota are allocated to
fishers (individuals or companies). The fishers have long-term rights over the quota but can trade quota with others. See also
Quota.",IOTC science glossary,,,,,,,,,,,,,,,
Industrial fishery,,"fishery that (i) catches fish from large and medium-sized vessels fitted out with mechanised methods of operating the fishing gear and installations for preservation of fish on board, (ii) process the catch either in land base or on board, in which cases the vessels are provided with appropriate processing installations, and (iii) distribute the fish products around the country and abroad using mechanised means of transportation adapted for fish and fish products. All these activities are generally organised for the financial benefit of the companies or organisations operating the fishing vessels, processing plants",FAO,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Industrial fishing*,,"Using large vessels, generally greater than 15 m in length",FAO terminology portal,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Industrial fishing vessel*,,"Large vessel, typically of 24 m in length and over, engaged in catching operations",IOTC glossary,,,,This definition contradicts the previous definition,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Inmarsat,,"A satellite communication system providing maritime communication services, including voice, data, and safety communications for vessels operating beyond the range of terrestrial communication networks.",IMO terminology,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Input controls,,"Management measures that place restraints on who fishes (licence limitations), where they fish (closed areas),
when they fish (closed seasons) or how they fish (gear restrictions).",IOTC science glossary,,,,,,,,,,,,,,,
Inshore waters,,"Waters of the shallower part of the continental shelf, usually less than 3 nm",IOTC science glossary,,,,,,,,,,,,,,,
Installation coverage,,The percentage of vessels equipped with EM systems,EM workshop-workshop standards,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Instrumented buoy,,A buoy with a clearly marked with a unique reference number allowing identification of its owner and equipped with a satellite tracking system to monitor its position (Res. [19/02](https://iotc.org/cmm/resolution-1902-procedures-fish-aggregating-devices-fads-management-plan)),IOTC resolution 19/02,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
IOTC active vessel list,AVL,"The list of vessels having operated in the IOTC area of competence in a given year, including fishing and non-fishing vessels of 24 m length overall and over",IOTC resolution 10/08,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IOTC Agreement,,The 1993 Agreement for the establishment of the Indian Ocean Tuna Commission,IOTC data reporting guidelines,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IOTC Area of Competence,,"The Indian Ocean (defined for the purpose of the IOTC Agreement as being FAO Statistical Areas 51 and 57), and adjacent seas, north of the Antarctic Convergence, insofar as it is necessary to cover such seas for the purpose of conserving and managing stocks that migrate into or out of the Indian Ocean. In 1999, the Commission extended the western boundary of the IOTC statistical area from 30ÂºE to 20ÂºE",IOTC data reporting guidelines,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IOTC Conservation and Management Measures,CMM,"consist of Resolutions, which are binding on Members, subject to Article IX para 5 of the IOTC Agreement, and Recommendations, which are non-binding, as specified in Article IX of the Agreement",IOTC-2025-CoC22-11_Add4-IOTC Glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IOTC observer,,An observer appointed pursuant to the IOTC Regional Observer Scheme under Resolution 11/04 and Resolution 19/06 and any superseding Resolution,IOTC-2025-CoC22-11_Add4-IOTC Glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IOTC Record of Authorized vessels,RAV,"the list of vessels authorised to operate in the IOTC Area of Competence in a given time period, including fishing and non-fishing vessels of 24 m length overall and over",IOTC data reporting guidelines,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IOTC species*,,Any or all of the 16 tuna and tuna-like species listed in Annex B of the IOTC Agreement,IOTC data reporting guidelines,,,Definitions from IOTC materials reference an attached table with a list of the species. ,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IOTC species of special interest,,"Species of Special Interest include all marine turtles, all marine mammals, all seabirds, shark species with a retention ban: whale sharks (Res 13/05), oceanic white tip sharks (Res 13/06) and thresher sharks (Res 12/09.); and billfish species included in Res 18/05: striped, black and blue marlin and Indo-Pacific sailfish (IOTC-2018-SC21-R[E])",Based on IOTC resolutions,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IOTC stocks,,The populations of the IOTC species which are located in the IOTC area of competence or migrate into or out of the area IOTC Agreement,Guidelines for the reporting of fishery statistics to the IOTC,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
International Radio Call Sign,IRCS,A unique identification signal assigned to a vessel by its flag State administration for use in radio communications.,IMO terminology,,,to define,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
Isobath,,Contour line linking points of the same depth,IOTC science glossary,,,,,,,,,,,,,,,
Isotherm,,Contour line linking points of the same temperature.,IOTC science glossary,,,,,,,,,,,,,,,
Joint venture,,"Collaborative fishing operation, usually involving two companies from different countries",IOTC science glossary,,,,,,,,,,,,,,,
Key commercial species,,"A species that is, or has been, specifically targeted and is, or has been, a significant component of a fishery",IOTC science glossary,,,,,,,,,,,,,,,
Landing,,"All transfers of any quantity of fish onboard from a vessel to land, other than transshipment, including transfers of fish to a port facility, transfers of fish from one vessel to another through a port facility or other means of transportation, and transfers of fish from a vessel to a container, truck, train, aircraft",IOTC-2025-CoC22-11_Add4-IOTC Glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Large-scale driftnets*,,Drift gillnets or other nets or a combination of nets that are more than 2.5 km in length whose purpose is to enmesh and entrap,data reporting guidelines,"Gillnets or other nets or a combination of nets that are more than 2.5 kilometers in length whose purpose is
to enmesh, entrap, or entangle fish by drifting on the surface of, or in, the water column.",IOTC science glossary,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Large-scale fishery,,"Fish is caught by vessels with a length overall of 24 m and above, and sold at landing sites, at markets, to processing factories",data reference catalogue fishery categories,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Latency,,"Fishing capacity that is authorised for use but not currently being used. Depending on how a fishery is managed, latency
might appear as latency in effort (e.g. unused vessels, gear, quota, permits or nights fishing) or latency in quota (e.g. where TACs
are not fully caught in a quota-managed fishery). It is a low-cost indicator of fishers' views about the profitability of a fishery.
High levels of latency can suggest that low profits in the fishery do not justify fishing. It is likely that fisheries in which latency
exists are close to the open-access equilibrium. Apart from being an indicator of efficiency, latency can also be detrimental to the
fish stock and to any chances the fishery may have of being profitable in the future. For example, a significant increase in the
market price of a fishery's product is likely to entice inactive effort into the fishery. Under input controlled fisheries, if enough
inactive effort is triggered, the fish stock could be jeopardised and/or profits dissipated as soon as they arise if the fishery is driven
to a point of open access equilibrium. In an output controlled fishery, this is less of a problem, providing that TACs are set in
accordance with regard to appropriate targets.",IOTC science glossary,,,,,,,,,,,,,,,
Lead line*,,A weighted line or rope attached to the lower edge of a fishing gear to provide sinking force and maintain the gear's position in the water.,Revised from Manual**,,,,,TRUE,TRUE,,,,,,,,,
